Year,DwellRecType,DwellStatus,Area,Count
2006,1,11,01,55524
2006,1,11,02,438609
2006,1,11,03,139647
2006,1,11,04,96165
2006,1,11,05,15663
2006,1,11,06,55224
2006,1,11,07,40278
2006,1,11,08,84771
2006,1,11,09,168849
2006,1,11,12,12771
2006,1,11,13,201660
2006,1,11,14,75231
2006,1,11,15,35802
2006,1,11,16,17268
2006,1,11,17,17187
2006,1,11,18,16842
2006,1,11,99,252
2006,1,11,9999,1471746
2006,1,11,77,1471497
2006,2,11,01,405
2006,2,11,02,1092
2006,2,11,03,717
2006,2,11,04,450
2006,2,11,05,105
2006,2,11,06,303
2006,2,11,07,180
2006,2,11,08,426
2006,2,11,09,498
2006,2,11,12,249
2006,2,11,13,1038
2006,2,11,14,678
2006,2,11,15,282
2006,2,11,16,207
2006,2,11,17,141
2006,2,11,18,186
2006,2,11,99,9
2006,2,11,9999,6963
2006,2,11,77,6954
2006,99,11,01,55932
2006,99,11,02,439701
2006,99,11,03,140364
2006,99,11,04,96615
2006,99,11,05,15768
2006,99,11,06,55527
2006,99,11,07,40461
2006,99,11,08,85194
2006,99,11,09,169347
2006,99,11,12,13020
2006,99,11,13,202698
2006,99,11,14,75909
2006,99,11,15,36084
2006,99,11,16,17475
2006,99,11,17,17328
2006,99,11,18,17025
2006,99,11,99,258
2006,99,11,9999,1478709
2006,99,11,77,1478451
2006,1,21,01,3516
2006,1,21,02,10026
2006,1,21,03,6630
2006,1,21,04,3591
2006,1,21,05,537
2006,1,21,06,1581
2006,1,21,07,1227
2006,1,21,08,2877
2006,1,21,09,4986
2006,1,21,12,738
2006,1,21,13,6615
2006,1,21,14,3120
2006,1,21,15,1380
2006,1,21,16,930
2006,1,21,17,555
2006,1,21,18,792
2006,1,21,99,21
2006,1,21,9999,49122
2006,1,21,77,49101
2006,1,22,01,7578
2006,1,22,02,23304
2006,1,22,03,19398
2006,1,22,04,8454
2006,1,22,05,1062
2006,1,22,06,3171
2006,1,22,07,2136
2006,1,22,08,6840
2006,1,22,09,8103
2006,1,22,12,1575
2006,1,22,13,11505
2006,1,22,14,8910
2006,1,22,15,3222
2006,1,22,16,1605
2006,1,22,17,630
2006,1,22,18,2628
2006,1,22,99,30
2006,1,22,9999,110151
2006,1,22,77,110121
2006,1,31,01,819
2006,1,31,02,3978
2006,1,31,03,1608
2006,1,31,04,900
2006,1,31,05,84
2006,1,31,06,480
2006,1,31,07,351
2006,1,31,08,585
2006,1,31,09,1188
2006,1,31,12,147
2006,1,31,13,1794
2006,1,31,14,810
2006,1,31,15,255
2006,1,31,16,159
2006,1,31,17,141
2006,1,31,18,255
2006,1,31,99,0
2006,1,31,9999,13557
2006,1,31,77,13557
2006,2,21,01,
2006,2,21,02,
2006,2,21,03,
2006,2,21,04,
2006,2,21,05,
2006,2,21,06,
2006,2,21,07,
2006,2,21,08,
2006,2,21,09,
2006,2,21,12,
2006,2,21,13,
2006,2,21,14,
2006,2,21,15,
2006,2,21,16,
2006,2,21,17,
2006,2,21,18,
2006,2,21,99,
2006,2,21,9999,
2006,2,21,77,
2006,2,22,01,
2006,2,22,02,
2006,2,22,03,
2006,2,22,04,
2006,2,22,05,
2006,2,22,06,
2006,2,22,07,
2006,2,22,08,
2006,2,22,09,
2006,2,22,12,
2006,2,22,13,
2006,2,22,14,
2006,2,22,15,
2006,2,22,16,
2006,2,22,17,
2006,2,22,18,
2006,2,22,99,
2006,2,22,9999,
2006,2,22,77,
2006,2,31,01,
2006,2,31,02,
2006,2,31,03,
2006,2,31,04,
2006,2,31,05,
2006,2,31,06,
2006,2,31,07,
2006,2,31,08,
2006,2,31,09,
2006,2,31,12,
2006,2,31,13,
2006,2,31,14,
2006,2,31,15,
2006,2,31,16,
2006,2,31,17,
2006,2,31,18,
2006,2,31,99,
2006,2,31,9999,
2006,2,31,77,
2006,99,21,01,
2006,99,21,02,
2006,99,21,03,
2006,99,21,04,
2006,99,21,05,
2006,99,21,06,
2006,99,21,07,
2006,99,21,08,
2006,99,21,09,
2006,99,21,12,
2006,99,21,13,
2006,99,21,14,
2006,99,21,15,
2006,99,21,16,
2006,99,21,17,
2006,99,21,18,
2006,99,21,99,
2006,99,21,9999,
2006,99,21,77,
2006,99,22,01,
2006,99,22,02,
2006,99,22,03,
2006,99,22,04,
2006,99,22,05,
2006,99,22,06,
2006,99,22,07,
2006,99,22,08,
2006,99,22,09,
2006,99,22,12,
2006,99,22,13,
2006,99,22,14,
2006,99,22,15,
2006,99,22,16,
2006,99,22,17,
2006,99,22,18,
2006,99,22,99,
2006,99,22,9999,
2006,99,22,77,
2006,99,31,01,
2006,99,31,02,
2006,99,31,03,
2006,99,31,04,
2006,99,31,05,
2006,99,31,06,
2006,99,31,07,
2006,99,31,08,
2006,99,31,09,
2006,99,31,12,
2006,99,31,13,
2006,99,31,14,
2006,99,31,15,
2006,99,31,16,
2006,99,31,17,
2006,99,31,18,
2006,99,31,99,
2006,99,31,9999,
2006,99,31,77,
2006,1,2,01,11094
2006,1,2,02,33330
2006,1,2,03,26028
2006,1,2,04,12045
2006,1,2,05,1599
2006,1,2,06,4752
2006,1,2,07,3363
2006,1,2,08,9717
2006,1,2,09,13089
2006,1,2,12,2313
2006,1,2,13,18120
2006,1,2,14,12030
2006,1,2,15,4602
2006,1,2,16,2535
2006,1,2,17,1185
2006,1,2,18,3420
2006,1,2,99,51
2006,1,2,9999,159273
2006,1,2,77,159222
2006,2,2,01,
2006,2,2,02,
2006,2,2,03,
2006,2,2,04,
2006,2,2,05,
2006,2,2,06,
2006,2,2,07,
2006,2,2,08,
2006,2,2,09,
2006,2,2,12,
2006,2,2,13,
2006,2,2,14,
2006,2,2,15,
2006,2,2,16,
2006,2,2,17,
2006,2,2,18,
2006,2,2,99,
2006,2,2,9999,
2006,2,2,77,
2006,99,2,01,
2006,99,2,02,
2006,99,2,03,
2006,99,2,04,
2006,99,2,05,
2006,99,2,06,
2006,99,2,07,
2006,99,2,08,
2006,99,2,09,
2006,99,2,12,
2006,99,2,13,
2006,99,2,14,
2006,99,2,15,
2006,99,2,16,
2006,99,2,17,
2006,99,2,18,
2006,99,2,99,
2006,99,2,9999,
2006,99,2,77,
2006,1,999,01,66618
2006,1,999,02,471939
2006,1,999,03,165675
2006,1,999,04,108210
2006,1,999,05,17262
2006,1,999,06,59976
2006,1,999,07,43641
2006,1,999,08,94488
2006,1,999,09,181938
2006,1,999,12,15084
2006,1,999,13,219780
2006,1,999,14,87261
2006,1,999,15,40404
2006,1,999,16,19803
2006,1,999,17,18372
2006,1,999,18,20262
2006,1,999,99,303
2006,1,999,9999,1631019
2006,1,999,77,1630719
2006,2,999,01,
2006,2,999,02,
2006,2,999,03,
2006,2,999,04,
2006,2,999,05,
2006,2,999,06,
2006,2,999,07,
2006,2,999,08,
2006,2,999,09,
2006,2,999,12,
2006,2,999,13,
2006,2,999,14,
2006,2,999,15,
2006,2,999,16,
2006,2,999,17,
2006,2,999,18,
2006,2,999,99,
2006,2,999,9999,
2006,2,999,77,
2006,99,999,01,
2006,99,999,02,
2006,99,999,03,
2006,99,999,04,
2006,99,999,05,
2006,99,999,06,
2006,99,999,07,
2006,99,999,08,
2006,99,999,09,
2006,99,999,12,
2006,99,999,13,
2006,99,999,14,
2006,99,999,15,
2006,99,999,16,
2006,99,999,17,
2006,99,999,18,
2006,99,999,99,
2006,99,999,9999,
2006,99,999,77,
2006,1,9999,01,67437
2006,1,9999,02,475920
2006,1,9999,03,167286
2006,1,9999,04,109110
2006,1,9999,05,17346
2006,1,9999,06,60456
2006,1,9999,07,43992
2006,1,9999,08,95070
2006,1,9999,09,183132
2006,1,9999,12,15228
2006,1,9999,13,221571
2006,1,9999,14,88074
2006,1,9999,15,40659
2006,1,9999,16,19962
2006,1,9999,17,18513
2006,1,9999,18,20514
2006,1,9999,99,303
2006,1,9999,9999,1644579
2006,1,9999,77,1644279
2006,2,9999,01,
2006,2,9999,02,
2006,2,9999,03,
2006,2,9999,04,
2006,2,9999,05,
2006,2,9999,06,
2006,2,9999,07,
2006,2,9999,08,
2006,2,9999,09,
2006,2,9999,12,
2006,2,9999,13,
2006,2,9999,14,
2006,2,9999,15,
2006,2,9999,16,
2006,2,9999,17,
2006,2,9999,18,
2006,2,9999,99,
2006,2,9999,9999,
2006,2,9999,77,
2006,99,9999,01,
2006,99,9999,02,
2006,99,9999,03,
2006,99,9999,04,
2006,99,9999,05,
2006,99,9999,06,
2006,99,9999,07,
2006,99,9999,08,
2006,99,9999,09,
2006,99,9999,12,
2006,99,9999,13,
2006,99,9999,14,
2006,99,9999,15,
2006,99,9999,16,
2006,99,9999,17,
2006,99,9999,18,
2006,99,9999,99,
2006,99,9999,9999,
2006,99,9999,77,
2006,1,11,001,20475
2006,1,11,002,28035
2006,1,11,003,6996
2006,1,11,011,11382
2006,1,11,012,7032
2006,1,11,013,19788
2006,1,11,015,11394
2006,1,11,016,46194
2006,1,11,017,15768
2006,1,11,018,3081
2006,1,11,019,8163
2006,1,11,020,3438
2006,1,11,021,12312
2006,1,11,022,15603
2006,1,11,023,40578
2006,1,11,024,23580
2006,1,11,025,11886
2006,1,11,026,2418
2006,1,11,027,3249
2006,1,11,028,15663
2006,1,11,029,3135
2006,1,11,030,25425
2006,1,11,031,21660
2006,1,11,032,4965
2006,1,11,033,26748
2006,1,11,034,3408
2006,1,11,035,10194
2006,1,11,036,4947
2006,1,11,037,17046
2006,1,11,038,5697
2006,1,11,039,9738
2006,1,11,040,28476
2006,1,11,041,6783
2006,1,11,042,11988
2006,1,11,043,19314
2006,1,11,044,15519
2006,1,11,045,14211
2006,1,11,046,35652
2006,1,11,047,68706
2006,1,11,048,8985
2006,1,11,049,2784
2006,1,11,050,3678
2006,1,11,051,17268
2006,1,11,052,17187
2006,1,11,053,16842
2006,1,11,054,1449
2006,1,11,055,4179
2006,1,11,056,5187
2006,1,11,057,3402
2006,1,11,058,4269
2006,1,11,059,15918
2006,1,11,060,134727
2006,1,11,062,11562
2006,1,11,063,10926
2006,1,11,064,17601
2006,1,11,065,1530
2006,1,11,066,2985
2006,1,11,067,249
2006,1,11,068,8589
2006,1,11,069,6825
2006,1,11,070,9090
2006,1,11,071,44808
2006,1,11,072,6621
2006,1,11,073,10911
2006,1,11,074,4863
2006,1,11,075,20025
2006,1,11,076,438609
2006,1,11,999,54
2006,1,11,999999,1471746
2006,1,11,777,1471692
2006,2,11,001,240
2006,2,11,002,114
2006,2,11,003,51
2006,2,11,011,165
2006,2,11,012,18
2006,2,11,013,48
2006,2,11,015,36
2006,2,11,016,162
2006,2,11,017,60
2006,2,11,018,18
2006,2,11,019,18
2006,2,11,020,30
2006,2,11,021,153
2006,2,11,022,51
2006,2,11,023,141
2006,2,11,024,186
2006,2,11,025,48
2006,2,11,026,6
2006,2,11,027,21
2006,2,11,028,102
2006,2,11,029,36
2006,2,11,030,132
2006,2,11,031,99
2006,2,11,032,27
2006,2,11,033,123
2006,2,11,034,21
2006,2,11,035,36
2006,2,11,036,81
2006,2,11,037,75
2006,2,11,038,42
2006,2,11,039,30
2006,2,11,040,120
2006,2,11,041,36
2006,2,11,042,39
2006,2,11,043,54
2006,2,11,044,42
2006,2,11,045,42
2006,2,11,046,75
2006,2,11,047,195
2006,2,11,048,45
2006,2,11,049,12
2006,2,11,050,24
2006,2,11,051,207
2006,2,11,052,141
2006,2,11,053,183
2006,2,11,054,78
2006,2,11,055,90
2006,2,11,056,54
2006,2,11,057,108
2006,2,11,058,66
2006,2,11,059,33
2006,2,11,060,543
2006,2,11,062,63
2006,2,11,063,48
2006,2,11,064,87
2006,2,11,065,75
2006,2,11,066,18
2006,2,11,067,6
2006,2,11,068,72
2006,2,11,069,102
2006,2,11,070,207
2006,2,11,071,264
2006,2,11,072,60
2006,2,11,073,180
2006,2,11,074,21
2006,2,11,075,78
2006,2,11,076,1092
2006,2,11,999,24
2006,2,11,999999,6963
2006,2,11,777,6936
2006,99,11,001,20712
2006,99,11,002,28149
2006,99,11,003,7047
2006,99,11,011,11547
2006,99,11,012,7050
2006,99,11,013,19836
2006,99,11,015,11430
2006,99,11,016,46359
2006,99,11,017,15825
2006,99,11,018,3099
2006,99,11,019,8184
2006,99,11,020,3468
2006,99,11,021,12465
2006,99,11,022,15657
2006,99,11,023,40719
2006,99,11,024,23766
2006,99,11,025,11931
2006,99,11,026,2421
2006,99,11,027,3270
2006,99,11,028,15762
2006,99,11,029,3171
2006,99,11,030,25554
2006,99,11,031,21759
2006,99,11,032,4992
2006,99,11,033,26871
2006,99,11,034,3429
2006,99,11,035,10227
2006,99,11,036,5031
2006,99,11,037,17124
2006,99,11,038,5736
2006,99,11,039,9768
2006,99,11,040,28599
2006,99,11,041,6819
2006,99,11,042,12027
2006,99,11,043,19368
2006,99,11,044,15564
2006,99,11,045,14253
2006,99,11,046,35724
2006,99,11,047,68901
2006,99,11,048,9030
2006,99,11,049,2796
2006,99,11,050,3702
2006,99,11,051,17475
2006,99,11,052,17328
2006,99,11,053,17025
2006,99,11,054,1527
2006,99,11,055,4266
2006,99,11,056,5244
2006,99,11,057,3513
2006,99,11,058,4332
2006,99,11,059,15951
2006,99,11,060,135270
2006,99,11,062,11625
2006,99,11,063,10977
2006,99,11,064,17688
2006,99,11,065,1608
2006,99,11,066,3003
2006,99,11,067,255
2006,99,11,068,8658
2006,99,11,069,6927
2006,99,11,070,9294
2006,99,11,071,45072
2006,99,11,072,6678
2006,99,11,073,11091
2006,99,11,074,4887
2006,99,11,075,20106
2006,99,11,076,439701
2006,99,11,999,78
2006,99,11,999999,1478709
2006,99,11,777,1478631
2006,1,21,001,1203
2006,1,21,002,1608
2006,1,21,003,705
2006,1,21,011,1974
2006,1,21,012,264
2006,1,21,013,681
2006,1,21,015,279
2006,1,21,016,867
2006,1,21,017,375
2006,1,21,018,261
2006,1,21,019,183
